title,unnamed:_0,personal_rating,person_1,person_2,person_3,person_4,person_5,person_6,person_7,person_8,...,person_17,person_18,person_19,person_20,imdb,year,genre,duration,budget,box_office,unnamed:_22
Dune,0,75,80,20.0,0.0,,74.0,70.0,0.0,90.0,...,80,80,100,80.0,80.0,2021,action,0,165.0,402.0,
Soul,1,90,60,100.0,0.0,91.0,,75.0,90.0,100.0,...,80,85,100,90.0,80.0,2020,kids,0,150.0,121.0,
Joker,2,100,95,90.0,80.0,79.0,100.0,95.0,80.0,90.0,...,90,90,100,85.0,84.0,2019,drama,0,55.0,1074.0,
The Breakfast Club,3,100,95,,0.0,76.0,80.0,0.0,85.0,,...,,80,80,90.0,78.0,1985,comedy,0,1.0,51.5,
El Camino,4,100,95,90.0,0.0,70.0,80.0,85.0,85.0,70.0,...,80,90,85,80.0,73.0,2019,suspense,0,,,
Valiente,5,70,60,100.0,80.0,90.0,100.0,90.0,100.0,80.0,...,70,70,80,80.0,71.0,2012,kids,0,185.0,540.4,
The Whale,6,85,90,85.0,80.0,100.0,90.0,67.0,80.0,60.0,...,80,90,100,70.0,77.0,2022,drama,0,3.0,54.9,
The amazing Spiderman,7,94,75,95.0,90.0,85.0,50.0,90.0,99.0,,...,60,90,80,90.0,69.0,2012,action,0,230.0,0.748400001,
Piratas del caribe: El cofre de la muerte,8,87,80,60.0,70.0,100.0,100.0,100.0,94.0,90.0,...,90,100,89,100.0,72.0,2006,adventure,0,255.0,1.065,
Ratatouille,9,95,87,90.0,100.0,100.0,100.0,100.0,95.0,90.0,...,100,70,85,100.0,81.0,2007,kids,0,150.0,630.7,
Piratas del Caribe: En el fin del mundo,10,100,85,70.0,95.0,100.0,100.0,100.0,92.0,93.0,...,100,100,94,100.0,71.0,2007,adventure,0,300.0,963.4,
El diario de la princesa,11,95,75,90.0,87.0,90.0,90.0,90.0,95.0,89.0,...,100,100,80,90.0,64.0,2001,romance,0,26.0,165.0,
Harry Potter,12,90,80,100.0,100.0,80.0,94.0,87.0,94.0,97.0,...,97,95,82,100.0,76.0,2001,fantasy,0,120.0,974.8,
Black Widow,13,95,86,98.0,70.0,87.0,80.0,87.0,87.0,79.0,...,95,80,95,70.0,67.0,2021,action,0,200.0,379.0,
The Avengers,14,90,79,100.0,100.0,79.0,87.0,100.0,97.0,100.0,...,85,79,97,87.0,80.0,2012,action,0,220.0,1519.0,
Captain America and the Winter Soldier,15,90,92,100.0,90.0,87.0,97.0,70.0,87.0,80.0,...,97,97,73,97.0,78.0,2014,action,0,170.0,714.4,
Captain Marvel,16,90,84,82.0,60.0,80.0,87.0,87.0,100.0,97.0,...,87,95,97,90.0,68.0,2019,action,0,152.0,1131.0,
Guardians of the Galaxy,17,87,97,100.0,80.0,87.0,97.0,70.0,79.0,87.0,...,95,87,65,82.0,80.0,2014,action,0,250.0,845.5,
Doctor Strange,18,88,39,100.0,100.0,69.0,83.0,87.0,87.0,70.0,...,100,95,87,100.0,75.0,2016,action,0,294.5,677.8,
Legally Blonde,19,95,100,100.0,100.0,87.0,70.0,97.0,100.0,83.0,...,95,100,100,97.0,64.0,2001,comedy,0,18.0,141.8,
Mean Girls,20,90,100,82.0,90.0,97.0,73.0,87.0,69.0,97.0,...,87,87,87,79.0,71.0,2004,comedy,0,17.0,1390.1,
Juego de gemelas,21,95,80,100.0,60.0,80.0,60.0,80.0,100.0,99.0,...,90,90,85,90.0,66.0,1998,comedy,0,15.0,92.108659,
Titanic,22,80,50,100.0,80.0,90.0,100.0,70.0,85.0,100.0,...,100,95,100,65.0,79.0,1997,romance,0,200.0,2264.743305,
Lilo y stitch,23,90,60,98.0,60.0,100.0,50.0,80.0,80.0,100.0,...,85,80,90,90.0,73.0,2002,adventure,0,80.0,273.144151,
Los increíbles,24,85,40,100.0,100.0,100.0,90.0,40.0,90.0,75.0,...,65,90,100,95.0,80.0,2004,action,0,92.0,631.607053,
Tangled,25,78,85,60.0,100.0,86.0,80.0,90.0,90.0,100.0,...,100,92,80,100.0,770.0,2010,musical,100,260.0,592.462816,
Rio,26,79,90,70.0,95.0,80.0,80.0,75.0,94.0,100.0,...,100,85,90,100.0,690.0,2011,adventure,96,90.0,483.866772,
Coco,27,85,80,,50.0,90.0,90.0,88.0,100.0,90.0,85,...,80,70,80.0,1000.0,2017,kids,0,175.0,,
Moana,29,90,70,100.0,70.0,100.0,70.0,50.0,,90.0,80,...,100,100,90.0,900.0,2016,adventure,0,150.0,687.228908,
